ANYO_ACADEMICO;COD_PROV;NOM_PROV;COD_MUN;NOM_MUN;COD_CENTRO;NOM_CENTRO;COD_FAMILIA;NOM_FAMILIA;COD_GRADO;NOM_GRADO;COD_CICLO;NOM_CICLO;COD_CURSO;CURSO;COD_TURNO;NOM_TURNO;NUM_GRUPOS;NUM_ALUMNOS
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000400;IES COTES BAIXES;020;COMERCIO Y MARKETING;GM;GRADO MEDIO;925103;ACTIVIDADES COMERCIALES;2CFM;SEGUNDO;4;MATUTINO;1;11
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000400;IES COTES BAIXES;020;COMERCIO Y MARKETING;GS;GRADO SUPERIOR;222104;MARKETING Y PUBLICIDAD;1CFS;PRIMERO;1;DIURNO;1;6
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000400;IES COTES BAIXES;020;COMERCIO Y MARKETING;GS;GRADO SUPERIOR;222104;MARKETING Y PUBLICIDAD;1CFS;PRIMERO;4;MATUTINO;1;21
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000400;IES COTES BAIXES;020;COMERCIO Y MARKETING;GS;GRADO SUPERIOR;222104;MARKETING Y PUBLICIDAD;2CFS;SEGUNDO;1;DIURNO;1;1
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000400;IES COTES BAIXES;020;COMERCIO Y MARKETING;GS;GRADO SUPERIOR;222104;MARKETING Y PUBLICIDAD;2CFS;SEGUNDO;2;VESPERTINO;1;2
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000400;IES COTES BAIXES;020;COMERCIO Y MARKETING;GS;GRADO SUPERIOR;222104;MARKETING Y PUBLICIDAD;2CFS;SEGUNDO;4;MATUTINO;1;23
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000400;IES COTES BAIXES;020;COMERCIO Y MARKETING;GS;GRADO SUPERIOR;449104;COMERCIO INTERNACIONAL (LOE);1CFS;PRIMERO;4;MATUTINO;1;28
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000400;IES COTES BAIXES;020;COMERCIO Y MARKETING;GS;GRADO SUPERIOR;449104;COMERCIO INTERNACIONAL (LOE);2CFS;SEGUNDO;-1;OTROS;1;1
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000400;IES COTES BAIXES;020;COMERCIO Y MARKETING;GS;GRADO SUPERIOR;449104;COMERCIO INTERNACIONAL (LOE);2CFS;SEGUNDO;4;MATUTINO;1;17
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000400;IES COTES BAIXES;031;ELECTRICIDAD Y ELECTRÓNICA;GM;GRADO MEDIO;705103;INSTALACIONES ELÉCTRICAS Y AUTOMÁTICAS;1CFM;PRIMERO;-1;OTROS;1;1
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000400;IES COTES BAIXES;031;ELECTRICIDAD Y ELECTRÓNICA;GM;GRADO MEDIO;705103;INSTALACIONES ELÉCTRICAS Y AUTOMÁTICAS;1CFM;PRIMERO;1;DIURNO;1;12
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000400;IES COTES BAIXES;031;ELECTRICIDAD Y ELECTRÓNICA;GM;GRADO MEDIO;705103;INSTALACIONES ELÉCTRICAS Y AUTOMÁTICAS;1CFM;PRIMERO;4;MATUTINO;2;18
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000400;IES COTES BAIXES;031;ELECTRICIDAD Y ELECTRÓNICA;GM;GRADO MEDIO;705103;INSTALACIONES ELÉCTRICAS Y AUTOMÁTICAS;2CFM;SEGUNDO;1;DIURNO;1;18
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000400;IES COTES BAIXES;031;ELECTRICIDAD Y ELECTRÓNICA;GM;GRADO MEDIO;705103;INSTALACIONES ELÉCTRICAS Y AUTOMÁTICAS;2CFM;SEGUNDO;4;MATUTINO;1;10
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000400;IES COTES BAIXES;031;ELECTRICIDAD Y ELECTRÓNICA;GS;GRADO SUPERIOR;908104;AUTOMATIZACIÓN Y ROBÓTICA INDUSTRIAL;1CFS;PRIMERO;-1;OTROS;1;1
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000400;IES COTES BAIXES;031;ELECTRICIDAD Y ELECTRÓNICA;GS;GRADO SUPERIOR;908104;AUTOMATIZACIÓN Y ROBÓTICA INDUSTRIAL;1CFS;PRIMERO;2;VESPERTINO;1;23
